11 , PIKIT 2 , Beside M. Lhuiller and Cruzado Medical Hospital  , 09175968499 , VILLANUEVA BLDG DATU PIANG ST POBLACION PIKIT NORTH COTABATO
12 , KIDAPAWAN 2 , Beside Police Outpost , 09173127816 , COR DATU INGKAL ST KIDAPWAN CITY NORTH COTABATO
13 , KIDAPAWAN , Beside Survive Marketing , 09508052874 , SHEER MARKETING BLDG. QUEZON BLVD. KIDAPAWAN CITY NORTH COTOBATO-
14 , MATALAM  , Fronting Public Terminal , 0909-2659629 , MARISPOQUE BLDG. MATALAM PUBLIC MARKET  COTOBATO
15 , M'LANG  , Infront of Mariano Untal Memorial High School , 09463787800 , MLANG COMODA BLDG BAGONTAPAY M'LANG COTABATO
16 , DAVAO 3  , Fronting Times Square , (082)-300-0672 , GALAXY ARCADE GARCIA BLDG. DUTERTE ST. DAVAO CITY
17 , TORIL , Fronting SM Mall  , 082-3215232 , DOOR 2 SAYON BLDG BAYABAS TORIL DAVAO CITY
18 , DAVAO 6  , Infront of 7 11 , 082-305.5067 , DOOR 219 FERNANDEZ HERMANOS BLDG COR. SANPEDRO & PELAYO STS  DAVAO
19 , MNI FOREST DAVAO  , Beside LBC  , 09774979391 , DOOR NO. 2 PAMPLONA BLDG PARK 1 LOT 15 MINI FOREST BRGY 23 C QUEZON BLVD DAVAO CITY
20 , CARMEN DDN ,  In between One Network Bank and Tagum Multipurpose Cooperative , 09463365178 , ROSAL ST PUROK 6 BRGY ISING CARMEN DAVAO DEL NORTE
21 , DAVAO  , Fronting Ateneo Building , 082-2277841 , FINSTER HALL ROXAS AVE. & C.M. RECTO JACINTO CAMPUS DAVAO CITY
22 , DIGOS , Fronting National High School , 082-2721240 , 2109 GROUND FLOOR BISNAR BLDG.  RIZAL AVENUE DIGOS DAVAO DEL SUR
23 , BANSALAN  , MLI ,  Palawan PS ,  Cebuana ,  RD PS  , 082 272 2412 , PUBLIC TERMINAL BANSALAN DAVAO DEL SUR
24 , DAVAO 2 , Beside City Hall , 082-3052400 , LEONOR  BLDG. CITYHALL DRIVE SAN PEDRO DAVAO CITY
25 , BUHANGIN , Beside China Bank , 082-3006835 , NO. 35 FUNA BLDG. KM 5 NATIONAL ROAD BUHANGIN DAVAO CITY
26 , PUAN  , Beside Merco Bakeshoppe , 082-2970050 , DRIVE  # 1 LLOVARES BLDG MC ARTHUR HIGHWAY PUAN TALOMO DAVAO CITY
27 , DAVAO 5 , Beside King Cooperative , 082-2715490 , DOOR 1 MULTIPURPOSE BLDG. PUROK 16 DAVAO BUKIDNON  HIGHWAY CALINAN DAVAO CITY
28 , TUPI , Beside Generic Pharmacy , 9274854859 , PUROK 8 DEL PILAR ST.  NATIONAL HIGHWAY POBLACION TUPI SOUTH COTOBATO
29 , POLOMOLOK , Beside Dalton Pawnshop , 09173280296 , SAMPAGUITA ST . POLOMOLOK  SOUTH COTABATO
30 , CALUMPANG , Beside New Bohol Public Market , 083-3013881 , DOOR # 7 EMS COMML. COMPLEX NATL HIGHWAY CALUMPANG GENSAN CITY
31 , MAASIM , Front of Public Market , 0912-7600773 , PUBLIC MARKET POBLACION MAASIM SARANAGGANI PROVINCE
32 , CALUMPANG 2 , Beside Mercury Drug ,  fronting Savemore , 083-3023601 , COCO CENTRALE BLDG. CHRISTIAN VILL. NATL HIGHWAY BRGY. CALUMPANG GENSAN
33 , GEN.SANTOS  2 , Beside Ramon Magsaysay College , 083-3019209 , DOOR # 3 OLPGV PARISH CENTER  ROXAS ST. GEN. SANTOS CITY
34 , GLAN  ,  SARANGANI  , Near Sta. Catalina Church , 0919-9676396 , TESTA BLDG. ST.CATALINA ST. POBLACION GLAN SARANGGANI
35 , MAITUM  , Fronting Raysmart Store , 09175241640 , PUBLIC MARKET POBLACION MAITUM SARANAGGANI PROVINCE
36 , KIAMBA  , Beside Cebuana Lhuillier  , 09167192803 , ANTHONY ST. POBLACION KIAMBA
37 , GENSAN MALAKAS , Fronting Iglesia Ni Cristo Church , 083-5520607 , DOOR # 2 LLOVERAS BLDG. APARENTE ST. PUROK MALAKAS GEN SANTOS CITY
38 , MAKAR , Beside Polytechnic College , 083-3012296NOEL BUILDING CROSIING MAKAR LABANGAL GEN. SANTOS CITY
39 , DOS  , Fronting Upi Terminal , 064-4310554 , DOOR # 1 DM BLDG. TENORIO AWANG DATU ODIN SINSUAT MAGUINDANAO
40 , UPI , Beside RD Pawnshop , 09275311708 , POBLACION NUNO UPI MAGUINDANAO
41 , DALICAN , Fronting Public Market , 09172764439 , DRK METRO POBLACION DALICAN DATU ODIN SINSUAT MAGUINDANAO
42 , COTABATO CITY 2 , Beside Sariling Atin Complex , 064)-552-0756 , COR.JOSE LIM AND RAMON VILO ST. POBLACION 6 COTOBATO CITY
43 , COTABATO CITY  , Fronting Weena Terminal , 064-4213108DOOR, #1 ANTONIO UY BLDG. DON RUFINO ALONZO ST. COTABATO CITY
44 , PARANG   MAGUINDANAO  , Beside Palawan Pawnshop , 09362504623TOMAWIS BLDG.  NARCISO RAMOS HIGHWAY PARANG MAGUINDANAO
45 , LIBUNGAN  , Fronting Public Market , 064-2295368 , PUBLIC TERMINAL POBLACION LIBUNGAN COTABATO
46 , FIESTA MALL , 09274511229 , FIESTA MALL COR.SINSUAT AND DATU UDTOG COTABATO CITY
47 , CROSSING SIMUAY SK  , Beside Al Durra Botique , 09072888235 , AL-DURRA NATIONAL HIGHWAY CROSSING SIMUAY SULTAN KUDARAT
48 , PIGCAWAYAN , Beside Public Plaza , 09175787664NATIONAL HIGHWAY PIGCAWAYAN NORTH COTABATO
49 , PANABO , Near Somoso Hospital  , 09985961182DAVAO CENTRAL WAREHAOUSE BLDG BRGY STO NINO  PANABO CITY DAVAO DEL NORTE
50 , TAGUM , Infront of Dimdi , 09178049261QUEZION ST TAGUM DAVAO DEL NORTE
51 , TIBUNGCO , Infront of St Francis Xavier Parish Church  , 09778195276 , FLORENTINA BLDG 176 NATIONAL HIGHWAY TIBUNGCO DAVAO CITY
52 , ESPERANZA , Fronting Public Plaza , 064-2026521EMPIG BLDG.  COR. NATL HIWAY  POBLACION ESPERANZA SULATAN KUDARAT
53 , LAMBAYONG , Fronting Public Terminal , 0946-5771867PUBLIC TERMINAL LAMBAYONG SULTAN KUDARAT
54 , PRESIDENT  QUIRINO SK , Near Municipal Hall , 09485017936PUROK CAPILAR POBLACION PRES QUIRINO SULTAN KUDARAT
55 , BULUAN  , Beside Palawan Pawnshop , 09269652079PIANG BLDG BRGY POBLACION  ,  NATIONAL HIGHWAY BULUAN MAGUINDANAO
56 , SHARIFF AGUAK , Near Public Terminal , 09756275893NS BLDG # 2 BRGY POBLACION  ,  NATIONAL HIGHWAY SHARIFF AGUAK  MAGUINDANAO
1 , DIPOLOG , Near RM Supermart , 065-908-2964. GEN. LUNA ST . CENTRAL BRGY. DIPOLOG CITY
2 , CALAMBA MIS. OCC , Fronting Rotonda Rizal ,  beside LBC Calamba Mis. , 088-564-8156. , TACLOB ST D BAN . CALAMBA MISAMIS OCC
3 , OROQUIETA  , Fronting M. Lhuillier , 088-5310464INDEPENDENCE ST. POBLACION 2 ,  OROQUIETA MISAMIS OCC.
4 , SINDANGAN  , Between Bombay Bazaar and 5 Start Enterprises , 065-918-5091ENOY BLDG QUEZON AVE. POBLACION SINDANGAN ZAMBOANGA DEL NORTE
5 , DAPITAN  CITY ZAMBOANGA  , Beside EJ Agrivet Supply ,  near Community Rural Bank of Dapitan City Inc. ,   , ANDRES BONIFACIO ST. ,  BAGTING DAPITAN CITY (BESIDE EJ AGRIVET SUPPLY)
6 , PRINCE DAPITAN ZDN  , Prince Hypermart  , -MANUEL L QUEZON AVE. STA CRUZ DAPITAN CITY
7 , MANUKAN  , Near Manukan Public Market , 0917-8205405POBLACION MANUKAN ZAMBOANGA DEL NORTE
8 , PLARIDEL MISAMIS  , Beside Palawan Pawnshop  , PLARDIEL MISAMIS OCC LOOC PROPER PLARIDEL MISAMIS OCCIDENTAL
9 , OZAMIS   , Fronting Marie Stoppes Clinic ,  near CENTRUM , 088-5215427GOMEZ ST. COR. VALCONCHA ST. OZAMIZ CITY
10 , OZAMIS 2 , Beside Supermix ,  near NOVO , 088-5642382RIZAL AVE. 50TH  BRGY. OZAMIS CITY
11 , PAGADIAN  , Near BWP pawnshop , 062-2154015FS PAJARES ST.SANTIAGO DISTRICT PULMONES BLDG.   PAGADIAN
12 , GUSU  ,  ZAMBOANGA  , Beside Parking Area fronting San Roque Road , 062-9831253DOOR # 3 YUBENCO SUPERMARKET  SAN JOSE GUSU ZAMBOANGA CITY
13 , RECODO ZAMBOANGA  , Fronting Old Recodo Brgy. Hall , 062-9820088JULIANA ALVAREZ BLDG. PUROK 7 RECODO ZAMBOANGA
14 , PUTIK , Along the highway fronting Yubenco Starmall-Putik , 062-9840068PAJARITO BLDG. MCLL HIGHWAY  FRONTING YUBENGCO MALL PUTIK ZAMBOANGA
15 , YUBENCO TETUAN  , Within the Yubenco Tetuan Mall  , YUBENCO TETUAN DON ALFARO ST. ZAMBOANGA CITY
16 , DIVISORIA ZAMBOANGA , Beside TNT Motorcycle   , BRGY. DIVISORIA ZAMBOANGA CITY
17 , IPIL  , Fronting Shell Station , 062-9558487ANGELES BLDG. DOOR 4 PUROK OCHIDS POBLACION IPIL ZAMBO.SIBUGAY
18 , VITALI , Behind Shell Gasoline Station , 062-9060644ALAVAR BLDG. VITALI ZAMBOANGA CITY
19 , PALA-O , Near Jollibe ,  beside Trendline Center , 063-2222810G/F ABALOS BLDG GEN. AGUINALDO ST. EXTENSION PALA-O ILIGAN CITY
20 , ILIGAN   , Beside Money Changer fronting Public Plaza , 063-2210422DOOR 2 AGUINALDO ST COR.LABAO ST.POBLACION  ILIGAN CITY
21 , MANTICAO  , Near Big ZSpring Refilling Station ,  fronting Manticao Public Market , 0915-8210063PUROK #4 MAGSAYSAY ST. ,  MANTICAO ,  MISAMIS ORIENTAL 0928-2063340
22 , LINAMON , Fronting Cebuana Lhuillier ,  beside AIMCOOP , 0917-8931703ROQUE CHA BLDG. POBLACION NATL HIGHWAY LINAMON LANAO DEL NORTE
23 , INITAO , Beside AIM Coop , 9022-5550759POBLACION INITAO MISAMIS ORIENTAL
24 , CAGAYAN DE ORO  , Near Shanghai Bakery ,  beside Rainbow Appliance Plaza , 088-8524163 , GOMEZ COR. CAPISTRANO ST. CAGAYAN DE ORO CITY
25 , ALUBIJID , Beside Shirogi Pan de Kofi , 088-2756083 , DEER PARK NATL HIGHWAY ALUBIJID MISAMIS ORIENTAL
26 , BALINGOAN  , Behind Balingoan Bus Terminal , 088-3873541 , GF MOTMOT BLDG  BAUK BAUK POBLACION  BALINGOAN MISAMIS ORIENTAL
27 , PUERTO CDO  , Beside M Lhuillier , 088-8808556FRONTING PUERTO PLAZA  NATIONAL HIGHWAY PUERTO CDO
1 , CABADBARAN  , Beside Cabadbaran Construction , 085-3431541 , ASIS ST. BRGY. 1 CABDBARAN AGUSAN DEL NORTE
2 , LIBERTAD , Fronting PNP Regional Office , 085-8166227PUROK 2 NATIONAL HIGHWAY  LIBERTAD BUTUAN CITY
3 , BUENAVISTA  , Fronting Shell Gasoline Station  , 085-3434855 , BRGY. 1 COGON ST. BUENAVISTA AGUSAN DEL NORTE
4 , BUTUAN  , Beside Pawalan Express Pawnshop ,  fronting Otis Cuisine , 085-8156280ORTIZ /JVC BLDG. JC AQUINO AVE. BRGY. T. SORA BUTUAN CITY
5 , NASIPIT , Near nasipit Central Elem School , 085-2830534BRGY 3 A.D.CURATO ST NASIPIT AGUSAN DEL NORTE
6 , GINGOOG , Near CIGNAL ,  fronting BDO , 088-8613201LUGOD BLDG BRGY 22 NATIONAL HIGHWAY GINGOOG CITY
7 , PRINCE GINGOOG , Near red Ribbon/beside Palawan Express Pawnshop , 0977-8039296NATIONAL HIGHWAY BRGY 19 GINGOOG CITY
8 , SAN FRANCISCO  , Fronting PNB , 085-8392294ROXAS ST. BRGY 2 SANFRANCISCO AGUSAN DEL SUR
9 , PROSPERIDAD , Back of Prosperidad Integrated Bus terminal , 085-2410188PROSPERIDAD BLK 105 1ST FLR PUBLIC MARKET POBLACION PROSPERIDAD AGUSAN DEL SUR
10 ,MANGAGOY  BISLIG , In front of SSS  ,  Beside NOVO  ,  086-311-0738NAPOLES BLDG ESPIRITU ST CENTRAL DISTRICT BRGY MANGAGOY BISLIG CITY SURIGAO DEL SUR
11 , PRINCE BAYUGAN , Inside Prince Hypermart , 085-343-6066P 22 DUHAT ST POBLACION BAYUGAN CITY AGUSAN DEL SUR
1 , GOA  , Near public market and LBC  , 054-4531996DOOR A RIVERO -ROMEYSALES BLDG. SAN JOSE ST . GOA CAMARINES SUR
2 , DAET    , Near elevated park and Chowking  , 0906-2706219 , G/F KARILAGAN BLDG.  MORENO ST. DAET CAMARINES NORTE
3 , NAGA CITY , Beside MayBank , 054-8813618UNIT 301 BDPHI BLDG PENAFRANCIA AVENUE COR PANGANIBAN DRIVE NAGA CITY
4 , LAGONOY , Infront of Municipal Hall , 0917-596-9688KLOUISE ENTERPRISES BLDG.  BRGY STA MARIA LAGONOY CAMARINES SUR
5 , MARINDUQUE – STA. CRUZ  , Fronting Town Plaza ,  0926-2239562.JRM BLDG. # 004 A.MABINI ST. BRGY.PAG-ASA STA. CRUZ. MARINDUQUE
6 , BOAC , 0998-5961192 , Ground Floor of Abys Place Hotel  , G/F RAMON J APOSTOL BLDG.  BRGY MALUSAK  BOAC MAR.
7 , DARAGA , Fronting Daraga Public Market , 052-4837622 , NO. 1006 G/F LUNA BLDG. REGIDOR ST. BRGY. SAGPON DARAGA ALBAY
8 , PILAR SORSOGON  ,  PUROK 7  ST. BRGY MARIFOSQUE PILAR SORSOGON
9 , POLANGUI 2 , Near LCC Mall ,  fronting Jollibee , 052-4862310RAMAR PLUS BLDG. LOURDES ST. BRGY UBALIW POLANGUI ALBAY
10 , LIGAO CITY , In Front of Jollibee Ligao , 052-8260098MC KINLEY ST BAGUMBAYAN LIGAO CITY ALBAY
11 , TABACO CITY , Beside 7-11   , UNIT 3 G/F  ,  ZIGA AVE CENTERPOINT BLDG. TABACO CITY ALBAY
12 , TIWI , Fronting AGRIKO Poultry Supply , 052-4815589260 , SAN RAFAEL ST. TIGBI TIWI ALBAY
13 , CALAUAG  , Near Calauag Public Market ,  fronting LBC , 042-7177004 , G/F PENTINIO BLDG.  QUEZON ST. BRGY.POB.3 CALAUAG QUEZON
14 , LOPEZ , Near Gumaca Jeep Terminal ,  in between Victorinas Grocery Store  , 0998- 5961160 , NORMA TARACINA BUILDING GOMEZ ( POB.) LOPEZ QUEZON
15 , ATIMONAN  , Near Atimonan Public Market ,  beside LBC , 042-5111638 , QUEZON COR. JUEZ ANDREZ  ST. ZONE III ATIMONAN QUEZON
1 , LIMAY , Beside K Servico and bridge heading the market , 047-2449386R & R BLDG. POBLACION NATL ROAD LIMAY BATAAN
2 , BALANGA  , Near bridge across Elison Hotel ,  047-2371383 , SPL BLDG. LERMA ST POBLACION BALANGA CITY
3 , BALANGA 2  , Across old Philippine Rabbit Terminal and J2 , 047-2375687 , CAPITOL DRIVE ANTOLINS BUILDING GF NEAR OLD PHILIPPINE RABBIT TERMINAL  BALANGA BATAAN
4 , LAMAO  , Corner Lamao Elementary School  , 047-63340360448 PAG ASA ST. LAMAO LIMAY BATAAN
5 , ABUCAY  , Near Magtanong Subd. , 047-461-207155 , CALAYLAYAN ABUCAY BATAAN
6 , SAMAL , Near Manuel's Araro Cookies , 047-4512368MC ARTHUR HIGHWAY EAST DAAN BAGO  SAMAL BATAAN
7 , ORANI , Near Orani arko ,  beside Motortrade , 047-9352595STALL # 6 ADMOR BLDG. BESIDE MOTORTRADE ST. BALUT ORANI BATAAN
8 , DINALUPIHAN  , Beside Fresh Option and Redd Drugstore , 047 237-1294G/F VM MALL SAN JUAN EXT.  INFRONT OF MARKET DINALUPIHAN BATAAN
9 , ORANI  ,  2047-2371600CENTRO 1 ORANI BATAAN
10 , HERMOSA , Beside 7- 11 , 047-633-4361HERMOSA COMML CENTER BURGOS SOLIMAN HERMOSA BATAAN
11 , OLONGAPO   , Fronting GAPOTEL , 047-60237121015 GONZALES BLDG.  WEST TAPINAC OLONGAPO CITY
12 , SAN ANTONIO  , Beside San Antonio Municipal Hall , 047-60212552/F COMML BLDG. TR YANGCO ST. BRGY. RIZAL SAN ANTONIO ZAM.
13 , CASTILLEJOS , Infront of Castillejos Public Market  , 0977-839-2092 , NDM JUICO COMML BLDG #1 NATIONAL ROAD BRGY SAN PABLO CASTILLEJOS ZAMBALES
14 , MORONG BATAAN  , Beside K Servico Motor Ccyle  , 0917-578-4735NATIONAL ROAD POBLACION MORONG BATAAN
15 , SAN FELIPE  , Beside Fresh Option San Felipe , 047-6021381MARINAS BLDG. FUENTE  CILLA ST. BRGY. ROSETE SAN FELIPE ZAM.
16 , STA CRUZ ZAMBALES , Across St Michael Parish Church  , 047- 811-1047NATIONAL RD COR. MONTEVIRGEN ST. POBLACION SOUTH STA CRUZ ZAM
17 , IBA ZAMBALES , NEAR PUREGOLD  , #20 MAGSAYSAY AVE ZONE 1 POBLACION IBA ZAMBALES
18 , ANGELES 2 , Fronting 7-Eleven , 045-8872552 , GF ORCHID BLDG. 339 STO ROSARIO ANGELES PAMPANGA
19 , PG DAU  , Inside Puregold Dau ,  fronting Yokohama Dau , 047-8924848COSMO BLDG. MC ARTHUR HI WAY DAU PAMPANGA
20 , ANGELES   , Fronting Mc Donald Balibago beside Zagu , 045-89212711903,A BALIBAGO SHOPPERS BLDG. MC ARTHUR HIWAY ANGELES
21 , GUAGUA , Beside Crown Plaza Building , 045-624-2299G/F VESA BLDG. 27 CALLE RIZAL PLASA P. BURGOS GUAGUA PAM. -
22 , SAN ROQUE DAU   , Near San Roque Dau Church  , 045 4970409SAN ROQUE DAU 1 LUBAO PAMPANGA
23 , LUBAO , Infront of Fresh Option near 7 11 , 045- 404-0434JP RIZAL ST STA CRUZ LUBAO PAMPANGA
